rank,iconUrl,contractName,baseCurrency,isSalesOnly,value,valueUSD,platform,buyers,sellers,owners,transactions,changeInValueUSD,previousValue,previousValueUSD
31,https://cryptoslam-token-images.s3.amazonaws.com/DOLCE.png,DGFamily Glass,ETH,true,1962.5156981945,5744598.8,0,496,834,0,904,,0,0
32,https://cryptoslam-token-images.s3.amazonaws.com/mems.png,mems,ETH,true,1890.23408026248,5606078.03,0,8094,3791,0,10945,,0,0
33,https://cryptoslam-token-images.s3.amazonaws.com/icons/degods.png,DeGods,SOL,false,53702.9773,5429904.819428655,14,166,191,4652,196,36.723037298212446,38765.2553,3971462.9858501884
34,https://cryptoslam-token-images.s3.amazonaws.com/elysium.png,Elysium Code,ETH,true,1788.9909371,5352917.899089184,0,2632,2840,1,4539,,0,0
35,https://d1nht67oz99wd1.cloudfront.net/nba-top-shot-v2-logo.png,NBA Top Shot,Flow,false,5287753,5287753,4,17968,26095,677633,220220,-22.74936007389994,6844931,6844931
36,https://d1nht67oz99wd1.cloudfront.net/resized/sorare-logo-v2_resized.png,Sorare,ETH,false,1602.41140502,4831691.254134357,0,14833,16395,118426,60095,-7.773084877302968,1726.049805621,5238916.695529024
37,https://d1nht67oz99wd1.cloudfront.net/resized/world-of-women_resized.png,World Of Women,ETH,false,15317.7870675372,4823665.35,0,126,143,0,199,76.0600964726617,900.112675203942,2739783.43
38,https://d1nht67oz99wd1.cloudfront.net/adidas.png,adidas Originals,ETH,true,1571.981852,4683655.503110799,0,694,693,1,826,66.42008850779607,930.46074,2814357.055753753
39,https://d1nht67oz99wd1.cloudfront.net/resized/axie-infinity-logo_resized.png,Axie Infinity,ETH,false,1501.7783016675833,4513591.888565555,5,40886,34311,2574135,129042,2.605000276015627,1452.392878063978,4398997.979068889
40,https://d1nht67oz99wd1.cloudfront.net/nftworlds.png,NFT Worlds,ETH,false,39320.1673816489,4306304.89,0,114,120,0,153,38.1766250209472,1434.65587545373,3116521.98
41,https://cryptoslam-token-images.s3.amazonaws.com/icons/coolpets.png,Cool Pets,ETH,false,1297.02429622551,3939385.42,0,605,620,0,876,-49.0571275969104,2556.82208541036,7732947.19
42,https://cryptoslam-token-images.s3.amazonaws.com/icons/The-Stoned-Frogs.jpg,The Stoned Frogs,SOL,true,38847.6069868,3924634.033248033,14,4048,6594,4962,6618,,0,0
43,https://cryptoslam-token-images.s3.amazonaws.com/icons/Shinsei.png,ShinseiGalverse,ETH,true,1230.64755031466,3697896.08,0,1425,1642,0,2556,-71.3282488257648,4249.66723257676,12897349.93
44,https://cryptoslam-token-images.s3.amazonaws.com/arcade.png,Arcade Land,ETH,false,1075.35647433996,3212752.72,0,634,739,0,1064,-36.0731675649907,1659.21052785218,5025671.69
45,https://cryptoslam-token-images.s3.amazonaws.com/spaceboo.png,Space Boo,ETH,false,1024.6624267865,3137015.76,0,3956,3767,0,7777,66.0546386783553,621.129859521985,1889146.72
46,https://d1nht67oz99wd1.cloudfront.net/acrocalypse.png,Acrocalypse,ETH,false,1021.4217556715,3119055.29,0,636,572,0,946,65.486420644699,622.450709849596,1884780.2
47,https://cryptoslam-token-images.s3.amazonaws.com/icons/NFF.png,Non Fungible Films Mint Pass Token,ETH,true,2231.56766623259,3067556.64,0,565,299,0,745,,0,0
48,https://cryptoslam-token-images.s3.amazonaws.com/icons/cets-on-creck.png,Cets on Crek,SOL,false,29797.17078168,3015031.657332552,14,320,390,3896,393,74.96193039147416,16674.0236362,1723250.109658983
49,https://cryptoslam-token-images.s3.amazonaws.com/icons/unemployable.png,Unemployables,ETH,true,976.717405246454,2903095.53,0,1574,1568,0,2684,-30.2422722941383,1364.29982858244,4161683.05
50,https://d1nht67oz99wd1.cloudfront.net/resized/veefriends_resized.png,VeeFriends,ETH,false,951.906695632264,2858466.15,0,58,68,0,92,9.82496217976941,852.238562125713,2602747.22
51,https://cryptoslam-token-images.s3.amazonaws.com/smowl.png,smowl,ETH,true,960.929864729696,2839833.23,0,2384,1816,0,5458,,0,0
52,https://d1nht67oz99wd1.cloudfront.net/resized/world-of-women_resized.png,World Of Women Galaxy,ETH,false,933.677254592068,2816115.64,0,524,534,0,785,-7.69150214412427,1009.61020402517,3050765.32
